                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2365,                0.74944,                 1.3097,                0.92281,                0.97993,                0.98436,                0.73602,                 1.2608,                0.59902,                 1.3441,               0.005248,               0.005248,               0.005248
                     50,                 1.2489,                0.74511,                 1.3183,                0.95441,                0.97993,                0.98624,                0.74981,                 1.2454,                0.56805,                 1.3243,               0.005149,               0.005149,               0.005149
                     51,                 1.2238,                 0.7325,                 1.3048,                  0.908,                0.97993,                0.98128,                0.75692,                 1.2232,                0.58006,                 1.3202,                0.00505,                0.00505,                0.00505
                     52,                  1.225,                0.72948,                 1.3053,                0.89611,                0.98161,                0.98166,                0.74358,                 1.2529,                0.59074,                 1.3277,               0.004951,               0.004951,               0.004951
                     53,                  1.236,                0.73757,                 1.3072,                0.95555,                0.97492,                0.98332,                0.76115,                 1.2312,                0.56795,                 1.3258,               0.004852,               0.004852,               0.004852
                     54,                 1.2111,                0.72024,                 1.2974,                0.86235,                0.98495,                0.98267,                0.72494,                 1.2486,                0.59129,                 1.3399,               0.004753,               0.004753,               0.004753
                     55,                 1.2125,                0.71584,                 1.2953,                0.89325,                0.94989,                0.98145,                0.75253,                 1.2453,                0.58201,                 1.3461,               0.004654,               0.004654,               0.004654
                     56,                 1.2182,                0.71792,                 1.3012,                0.92613,                0.94908,                0.98162,                0.76049,                 1.2365,                0.56849,                 1.3284,               0.004555,               0.004555,               0.004555
                     57,                 1.2186,                0.70577,                 1.2978,                0.94349,                0.98106,                0.98509,                0.76112,                 1.2357,                0.55922,                 1.3282,               0.004456,               0.004456,               0.004456
                     58,                 1.2121,                 0.7139,                 1.2981,                 0.9603,                0.94156,                 0.9802,                0.75465,                 1.2368,                 0.5648,                  1.327,               0.004357,               0.004357,               0.004357
                     59,                 1.2165,                0.69652,                 1.3029,                0.90439,                0.93091,                0.98455,                0.77657,                 1.2112,                0.55634,                 1.3104,               0.004258,               0.004258,               0.004258
                     60,                 1.2057,                0.70224,                 1.2915,                0.93145,                0.96655,                0.98289,                0.75896,                 1.2387,                0.56081,                 1.3201,               0.004159,               0.004159,               0.004159
                     61,                 1.2065,                0.70669,                 1.2867,                0.89361,                0.98495,                0.98007,                0.76155,                 1.2395,                 0.5716,                 1.3253,                0.00406,                0.00406,                0.00406
                     62,                 1.1981,                0.69253,                 1.2836,                0.86965,                0.92208,                 0.9821,                0.78517,                 1.2355,                0.56657,                 1.3201,               0.003961,               0.003961,               0.003961
                     63,                  1.198,                0.69691,                 1.2812,                0.89709,                0.98495,                0.98507,                0.74576,                 1.2316,                0.55831,                 1.3205,               0.003862,               0.003862,               0.003862
                     64,                 1.1907,                0.68138,                 1.2781,                0.95934,                0.97557,                0.98741,                0.80082,                 1.1969,                0.53749,                 1.2988,               0.003763,               0.003763,               0.003763
                     65,                 1.1869,                0.68091,                 1.2804,                 0.9509,                0.98161,                0.98682,                0.77823,                 1.2026,                0.53889,                 1.2981,               0.003664,               0.003664,               0.003664
                     66,                 1.1953,                0.68275,                  1.282,                0.90979,                0.97482,                0.98647,                0.76436,                 1.2319,                0.54435,                 1.3199,               0.003565,               0.003565,               0.003565
                     67,                 1.1807,                0.67078,                 1.2787,                0.97657,                0.97524,                0.98751,                0.73231,                 1.2449,                0.52025,                 1.3352,               0.003466,               0.003466,               0.003466
                     68,                 1.1818,                0.67993,                  1.275,                0.93754,                0.96463,                0.98671,                0.75896,                 1.2131,                0.53335,                 1.3096,               0.003367,               0.003367,               0.003367
                     69,                 1.1582,                0.66457,                 1.2663,                0.95497,                0.97024,                0.98646,                0.73985,                 1.2102,                0.53165,                 1.3125,               0.003268,               0.003268,               0.003268
